product_category_name,total_revenue
beleza_saude,1258681.34
relogios_presentes,1205005.68
cama_mesa_banho,1036988.68
esporte_lazer,988048.97
informatica_acessorios,911954.32
moveis_decoracao,729762.49
cool_stuff,635290.85
utilidades_domesticas,632248.66
automotivo,592720.11
ferramentas_jardim,485256.46
brinquedos,483946.6
bebes,411764.89
perfumaria,399124.87
telefonia,323667.53
moveis_escritorio,273960.7
papelaria,230943.23
pcs,222963.13
pet_shop,214315.41
instrumentos_musicais,191498.88
eletroportateis,190648.58
,179535.28
eletronicos,160246.74
consoles_games,157465.22
fashion_bolsas_e_acessorios,152823.54
construcao_ferramentas_construcao,144677.59
malas_acessorios,140429.98
eletrodomesticos_2,113317.74
casa_construcao,83088.12
eletrodomesticos,80171.53
agro_industria_e_comercio,72530.47
moveis_sala,68916.56
telefonia_fixa,59583
casa_conforto,58572.04
climatizacao,55024.96
audio,50688.5
portateis_casa_forno_e_cafe,47445.71
livros_interesse_geral,46856.88
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37
construcao_ferramentas_iluminacao,41080
construcao_ferramentas_seguranca,40544.52
industria_comercio_e_negocios,39669.61
alimentos,29393.41
market_place,28378.47
construcao_ferramentas_jardim,25715.89
artes,24202.64
fashion_calcados,23562.77
bebidas,22428.7
sinalizacao_e_seguranca,21509.23
moveis_quarto,20028.78
livros_tecnicos,19096.06
